App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
10 Best Foods for You,"I like eat delicious food. That's I'm cooking food myself, case ""10 Best Foods"" helps lot, also ""Best Before (Shelf Life)""",Positive,1,0.533333333
10 Best Foods for You,This help eating healthy exercise regular basis,Positive,0.25,0.288461538
10 Best Foods for You,nan,nan,nan,nan
10 Best Foods for You,Works great especially going grocery store,Positive,0.4,0.875
10 Best Foods for You,Best idea us,Positive,1,0.3
10 Best Foods for You,Best way,Positive,1,0.3
10 Best Foods for You,Amazing,Positive,0.6,0.9
10 Best Foods for You,nan,nan,nan,nan
10 Best Foods for You,"Looking forward app,",Neutral,0,0
10 Best Foods for You,It helpful site ! It help foods get !,Neutral,0,0
10 Best Foods for You,good you.,Positive,0.7,0.6
10 Best Foods for You,"Useful information The amount spelling errors questions validity information shared. Once fixed, 5 stars given.",Positive,0.2,0.1
10 Best Foods for You,"Thank you! Great app!! Add arthritis, eyes, immunity, kidney/liver detox foods please. :)",Positive,0.75,0.875
10 Best Foods for You,Greatest ever Completely awesome maintain health.... This must ppl there... Love it!!!,Positive,0.9921875,0.866666667
10 Best Foods for You,Good health...... Good health first priority.......,Positive,0.55,0.511111111
10 Best Foods for You,nan,nan,nan,nan
10 Best Foods for You,Health It's important world either life . think? :),Positive,0.45,1
10 Best Foods for You,"Mrs sunita bhati I thankful developers,to make kind app, really good healthy food body",Positive,0.6,0.666666667
10 Best Foods for You,Very Useful in diabetes age 30. I need control sugar. thanks,Positive,0.295,0.1
10 Best Foods for You,One greatest apps.,Positive,1,1
10 Best Foods for You,good nice,Positive,0.65,0.8
10 Best Foods for You,Healthy Really helped,Positive,0.35,0.35
10 Best Foods for You,God health,Neutral,0,0
10 Best Foods for You,HEALTH SHOULD ALWAYS BE TOP PRIORITY. !!. ON MYSG5.,Positive,0.78125,0.5
10 Best Foods for You,An excellent A useful,Positive,0.65,0.5
10 Best Foods for You,I found lot wealth form health...,Neutral,0,0
10 Best Foods for You,Because I found important.,Positive,0.4,1
10 Best Foods for You,Healthy Eating,Positive,0.5,0.5
10 Best Foods for You,Very good Simply good,Positive,0.805,0.69
10 Best Foods for You,On test....,Neutral,0,0
10 Best Foods for You,Good.!!,Positive,1,0.6
10 Best Foods for You,Thanks advice. Downloaded Adobe reader still can't get recipe book?..,Positive,0.2,0.2
10 Best Foods for You,No recipe book Unable recipe book.,Negative,-0.5,0.5
10 Best Foods for You,Absolutely Fabulous Phenomenal,Positive,0.45,0.75
10 Best Foods for You,Great Love food,Positive,0.65,0.675
10 Best Foods for You,Excellent It really works,Positive,0.6,0.6
10 Best Foods for You,Best,Positive,1,0.3
10 Best Foods for You,"WEALTH OF INFORMATION Very informative ... easy understand. (The ads middle page interupted read). Update: My ""ad comment"" NOT objection ads, literally position ads. Smack dab MIDDLE. I new spartphones & apps. Didnt know NOT Click eveything I saw... But, ... Full Review",Positive,0.186616162,0.356313131
10 Best Foods for You,Not description good,Positive,0.7,0.6
10 Best Foods for You,Great app. Love,Positive,0.65,0.675
10 Best Foods for You,Good,Positive,0.7,0.6
10 Best Foods for You,Loved Very helpful,Positive,0.45,0.55
10 Best Foods for You,Good healthy foods.,Positive,0.6,0.55
10 Best Foods for You,Waste time It needs internet time n ask calls information,Negative,-0.2,0
10 Best Foods for You,Best thing I lost ten lbs. two months help tips,Positive,0.5,0.15
10 Best Foods for You,Ten best food promote good health Good health essential long healthy lifestyle make habit eat foods promote good health. Eat fruits veggies every day.,Positive,0.44375,0.4125
10 Best Foods for You,Healthy Food Really good information eat healthy,Positive,0.566666667,0.533333333
10 Best Foods for You,My mom dad important thing This good share,Positive,0.55,0.8
10 Best Foods for You,A big thanks ds I got bst gd health,Positive,0.1,0.15
